,Time,News Reporter,News Headline,URL
39,Jan-03-23 06:18PM, American City Business Journals,"OHA approves Amazon clinic acquisition, with conditions",https://finance.yahoo.com/m/1856b957-5c2b-35f4-8902-70a14daa749e/oha-approves-amazon-clinic.html
40,Jan-03-23 05:34PM, Reuters,Amazon secures $8 billion term loan,https://finance.yahoo.com/news/amazon-secures-8-billion-loan-223407568.html
41,Jan-03-23 05:25PM, Reuters,UPDATE 3-Amazon secures $8 billion term loan,https://finance.yahoo.com/news/1-amazon-secures-8-billion-222500732.html
42,Jan-03-23 05:09PM, Barrons.com,Apples Market Cap Slides Below $2 Trillion for the First Time Since 2021,https://finance.yahoo.com/m/3f1dbba0-338d-398c-8d9c-e18d9b0b7205/apple%E2%80%99s-market-cap-slides.html
43,Jan-03-23 03:57PM, The Wall Street Journal,Microsoft Workers to Form Companys First Union in the U.S.,https://finance.yahoo.com/m/41709b57-8681-3b58-a94a-16bf7c9abfd2/microsoft-workers-to-form.html
44,Jan-03-23 03:49PM, Investor's Business Daily,"These Will Be The Best 9 Stocks In 2023, Analysts Say",https://finance.yahoo.com/m/39240276-9770-357e-b87d-a0913fc83fb4/these-will-be-the-best-9.html
45,Jan-03-23 03:44PM, Barrons.com,Apple Stock Just Keeps Falling. Its Worth Less Than $2 Trillion Now.,https://finance.yahoo.com/m/3f1dbba0-338d-398c-8d9c-e18d9b0b7205/apple-stock-just-keeps.html
46,Jan-03-23 03:01PM, GOBankingRates,"37 Mistakes We Make When Shopping at Costco, Amazon, Target and Walmart",https://finance.yahoo.com/news/37-mistakes-shopping-costco-amazon-143207271.html
47,Jan-03-23 02:34PM, The Wall Street Journal,"Google and Metas Advertising Dominance Fades as TikTok, Streamers Emerge",https://finance.yahoo.com/m/7adf633a-fd00-3084-94d7-296082ac5032/google-and-meta%E2%80%99s-advertising.html
48,Jan-03-23 01:33PM, Barrons.com,Apple Stock Falls Lower. Its Market Cap Slides Below $2 Trillion.,https://finance.yahoo.com/m/3f1dbba0-338d-398c-8d9c-e18d9b0b7205/apple-stock-falls-lower.-its.html
